Entity,Code,Year,Marine protected areas (% of territorial waters)
Cayman Islands,CYM,2017,0.07767341285943985
Cayman Islands,CYM,2018,0.07767341285943985
Cayman Islands,CYM,2019,0.07767300307750702
Cayman Islands,CYM,2020,0.07767300307750702
Cayman Islands,CYM,2021,0.07767312228679657
Chile,CHL,2016,12.595203399658203
Chile,CHL,2017,28.814451217651367
Chile,CHL,2018,28.814451217651367
Chile,CHL,2019,41.19150924682617
Chile,CHL,2020,41.32516098022461
Chile,CHL,2021,41.32516098022461
China,CHN,2016,3.766775131225586
China,CHN,2017,5.406831741333008
China,CHN,2018,5.406831741333008
China,CHN,2019,5.406830787658691
China,CHN,2020,5.47900915145874
China,CHN,2021,5.479008674621582
Colombia,COL,2016,2.063793182373047
Colombia,COL,2017,17.069887161254883
Colombia,COL,2018,17.069887161254883
Colombia,COL,2019,17.060840606689453
Colombia,COL,2020,17.165700912475586
Colombia,COL,2021,17.16570281982422
Comoros,COM,2016,0.02296001836657524
Comoros,COM,2017,0.022636402398347855
Comoros,COM,2018,0.022636402398347855
Comoros,COM,2019,0.02263600006699562
Comoros,COM,2020,0.37447699904441833
Comoros,COM,2021,0.3744772672653198
Congo,COG,2016,3.205932140350342
Congo,COG,2017,3.211703062057495
Congo,COG,2018,3.211703062057495
Congo,COG,2019,3.211738109588623
Congo,COG,2020,3.0105459690093994
Congo,COG,2021,3.0105464458465576
Costa Rica,CRI,2016,0.8335210680961609
Costa Rica,CRI,2017,0.8334474563598633
Costa Rica,CRI,2018,0.8334474563598633
Costa Rica,CRI,2019,2.6143760681152344
Costa Rica,CRI,2020,2.728769063949585
Costa Rica,CRI,2021,2.7287685871124268
Cote d'Ivoire,CIV,2016,0.07435275614261627
Cote d'Ivoire,CIV,2017,0.07456597685813904
Cote d'Ivoire,CIV,2018,0.07456597685813904
Cote d'Ivoire,CIV,2019,0.07456599920988083
Cote d'Ivoire,CIV,2020,0.07257600128650665
Cote d'Ivoire,CIV,2021,0.072575643658638
Croatia,HRV,2016,8.540921211242676
Croatia,HRV,2017,8.541085243225098
Croatia,HRV,2018,8.541085243225098
Croatia,HRV,2019,8.54102897644043
Croatia,HRV,2020,8.991410255432129
Croatia,HRV,2021,8.987750053405762
Cuba,CUB,2016,4.324744701385498
Cuba,CUB,2017,4.324950695037842
Cuba,CUB,2018,4.324950695037842
Cuba,CUB,2019,3.851970911026001
Cuba,CUB,2020,3.8522489070892334
Cuba,CUB,2021,3.8522491455078125
Curacao,CUW,2016,0.03274930268526077
Curacao,CUW,2017,0.034170929342508316
Curacao,CUW,2018,0.034170929342508316
Curacao,CUW,2019,0.03817399963736534
Curacao,CUW,2020,0.03817399963736534
Curacao,CUW,2021,0.03817383572459221
Cyprus,CYP,2016,0.12311825156211853
Cyprus,CYP,2017,0.122715525329113
Cyprus,CYP,2018,0.122715525329113
Cyprus,CYP,2019,0.12307800352573395
Cyprus,CYP,2020,8.620538711547852
Cyprus,CYP,2021,8.620538711547852
Democratic Republic of Congo,COD,2016,0.23369064927101135
Democratic Republic of Congo,COD,2017,0.23643919825553894
Democratic Republic of Congo,COD,2018,0.23643919825553894
Democratic Republic of Congo,COD,2019,0.2364320009946823
Democratic Republic of Congo,COD,2020,0.2364320009946823
Democratic Republic of Congo,COD,2021,0.23643194139003754
Denmark,DNK,2016,17.8481502532959
Denmark,DNK,2017,17.8489933013916
Denmark,DNK,2018,17.8489933013916
Denmark,DNK,2019,17.91983985900879
Denmark,DNK,2020,18.32221031188965
Denmark,DNK,2021,18.322139739990234
Djibouti,DJI,2016,0.5404559969902039
Djibouti,DJI,2017,0.16786746680736542
Djibouti,DJI,2018,0.16786746680736542
Djibouti,DJI,2019,0.16786499321460724
Djibouti,DJI,2020,0.16786499321460724
