Code,Entity,Urban_Rural,POPULATION1990PCT,POPULATION2000PCT,POPULATION2010PCT
FLK,Falkland Islands,RURAL,90,95,95
FLK,Falkland Islands,URBAN,0,0,0
FRA,France,RURAL,2,2,2
FRA,France,URBAN,10,10,10
FRO,Faeroe Islands,RURAL,53,49,49
FRO,Faeroe Islands,URBAN,47,51,51
FSM,Federated State of Micronesia,RURAL,30,31,0
FSM,Federated State of Micronesia,URBAN,70,69,0
GAB,Gabon,RURAL,2,2,2
GAB,Gabon,URBAN,49,50,50
GBR,United Kingdom,RURAL,3,3,3
GBR,United Kingdom,URBAN,18,18,18
GEO,Georgia,RURAL,0,0,0
GEO,Georgia,URBAN,0,0,0
GGY,Guernsey,RURAL,25,25,25
GGY,Guernsey,URBAN,75,75,75
GHA,Ghana,RURAL,3,3,3
GHA,Ghana,URBAN,14,14,14
GIB,Gibraltar,RURAL,21,21,21
GIB,Gibraltar,URBAN,79,79,79
GIN,Guinea,RURAL,2,2,2
GIN,Guinea,URBAN,12,11,11
GLP,Guadeloupe,RURAL,9,8,7
GLP,Guadeloupe,URBAN,90,92,92
GMB,Gambia,RURAL,13,12,12
GMB,Gambia,URBAN,36,42,42
GNB,Guinea-Bissau,RURAL,17,17,17
GNB,Guinea-Bissau,URBAN,24,24,25
GNQ,Equatorial Guinea,RURAL,9,19,19
GNQ,Equatorial Guinea,URBAN,26,16,16
GRC,Greece,RURAL,10,10,10
GRC,Greece,URBAN,49,50,51
GRD,Grenada,RURAL,42,43,43
GRD,Grenada,URBAN,58,57,57
GRL,Greenland,RURAL,76,74,73
GRL,Greenland,URBAN,22,24,26
GTM,Guatemala,RURAL,2,2,2
GTM,Guatemala,URBAN,1,1,1
GUF,French Guiana,RURAL,12,10,10
GUF,French Guiana,URBAN,36,38,39
GUM,Guam,RURAL,3,3,0
GUM,Guam,URBAN,97,97,0
GUY,Guyana,RURAL,11,12,12
GUY,Guyana,URBAN,14,12,12
HKG,Hong Kong,RURAL,10,10,10
HKG,Hong Kong,URBAN,88,87,87
HND,Honduras,RURAL,4,4,4
HND,Honduras,URBAN,4,4,4
HRV,Croatia,RURAL,7,7,8
HRV,Croatia,URBAN,18,17,17
HTI,Haiti,RURAL,33,31,31
HTI,Haiti,URBAN,20,23,23
HUN,Hungary,RURAL,0,0,0
HUN,Hungary,URBAN,0,0,0
IDN,Indonesia,RURAL,16,16,16
IDN,Indonesia,URBAN,13,12,12
IMN,Isle of Man,RURAL,17,17,17
IMN,Isle of Man,URBAN,83,83,83
IND,India,RURAL,2,2,2
IND,India,URBAN,4,3,3
IRL,Ireland,RURAL,10,10,10
IRL,Ireland,URBAN,33,32,32
IRN,Iran,RURAL,0,0,0
IRN,Iran,URBAN,1,1,1
IRQ,Iraq,RURAL,0,0,0
IRQ,Iraq,URBAN,0,0,0
ISL,Iceland,RURAL,26,21,21
ISL,Iceland,URBAN,54,59,59
ISR,Israel,RURAL,0,0,0
ISR,Israel,URBAN,41,39,38
ITA,Italy,RURAL,4,3,3
ITA,Italy,URBAN,25,25,25
JAM,Jamaica,RURAL,17,17,17
JAM,Jamaica,URBAN,36,36,36
JEY,Jersey,RURAL,5,4,4
JEY,Jersey,URBAN,95,96,96
JOR,Jordan,RURAL,0,0,0
JOR,Jordan,URBAN,1,1,1
JPN,Japan,RURAL,6,6,6
JPN,Japan,URBAN,31,31,31
KAZ,Kazakhstan,RURAL,0,0,0
KAZ,Kazakhstan,URBAN,0,0,0
KEN,Kenya,RURAL,2,2,2
KEN,Kenya,URBAN,3,3,3
KGZ,Kyrgyz Republic,RURAL,0,0,0
KGZ,Kyrgyz Republic,URBAN,0,0,0
KHM,Cambodia,RURAL,2,2,2
KHM,Cambodia,URBAN,1,1,1
KIR,Kiribati,RURAL,91,89,0
KIR,Kiribati,URBAN,9,11,0
KNA,Saint Kitts and Nevis,RURAL,14,14,14
KNA,Saint Kitts and Nevis,URBAN,86,86,86
KOR,Korea,RURAL,5,4,4
KOR,Korea,URBAN,22,22,22
KWT,Kuwait,RURAL,10,11,12
KWT,Kuwait,URBAN,56,55,55
LAO,Lao People's Democratic Republic,RURAL,0,0,0
LAO,Lao People's Democratic Republic,URBAN,0,0,0
LBN,Lebanon,RURAL,5,5,5
LBN,Lebanon,URBAN,49,49,49
LBR,Liberia,RURAL,11,11,11
LBR,Liberia,URBAN,13,13,13
LBY,Libyan Arab Jamahiriya,RURAL,4,3,3
LBY,Libyan Arab Jamahiriya,URBAN,31,32,32
LCA,Saint Lucia,RURAL,34,35,34
LCA,Saint Lucia,URBAN,66,65,66
LIE,Liechtenstein,RURAL,0,0,0
LIE,Liechtenstein,URBAN,0,0,0
LKA,Sri Lanka,RURAL,11,10,10
LKA,Sri Lanka,URBAN,18,18,18
LSO,Lesotho,RURAL,0,0,0
LSO,Lesotho,URBAN,0,0,0
LTU,Lithuania,RURAL,1,1,1
LTU,Lithuania,URBAN,6,6,6
LUX,Luxembourg,RURAL,0,0,0
LUX,Luxembourg,URBAN,0,0,0
LVA,Latvia,RURAL,2,2,2
