,Entity,Code,Year,kg_per_yr_per_capita,Production_in_tons,Population (historical estimates),Life_Expectancy_years,continent,fish_and_seafood_kg_protein_per_capita,percent_fish_total_protein_per_capita,percent_fish_protein_all_animal,Marine protected areas (% of territorial waters)
42,Bangladesh,BGD,2016,24.222841,3878320.0,159784576,71.78,Asia,2.558574737,12.2940872,60.13570848,5.356940269470215
43,Bangladesh,BGD,2017,25.670963,4134440.0,161793968,72.05,Asia,2.701817016,12.6646403,60.82725131,5.357190132141113
44,Bangladesh,BGD,2018,26.195524,4276640.0,163683952,72.32,Asia,2.774487458,12.62692353,61.33651394,5.357190132141113
45,Bangladesh,BGD,2019,26.577366,4384220.0,165516224,72.59,Asia,2.804513124,12.92460674,62.35012,5.356943130493164
46,Bangladesh,BGD,2020,26.27421,4384220.0,167420944,72.87,Asia,2.771825951,12.62262895,60.45418944,5.356943130493164
47,Barbados,BRB,2016,42.82918,1760.0,278660,78.89,North America,4.476639955,13.87437579,24.99477112,0.0059453099966049
48,Barbados,BRB,2017,44.11914,1480.0,279199,78.98,North America,4.733460525,14.69871203,26.03866797,0.0058465120382606
49,Barbados,BRB,2018,49.088245,1760.0,279702,79.08,North America,5.209623465,15.76561317,27.52275408,0.0058465120382606
50,Barbados,BRB,2019,43.965755,1480.0,280193,79.19,North America,4.71853385,14.39160641,25.81305059,0.0055780000984668
51,Barbados,BRB,2020,43.879345,1480.0,280704,79.31,North America,4.708378455,14.53622523,25.89395994,0.0055780000984668
52,Belgium,BEL,2016,23.858091,27010.0,11316837,81.44,Europe,2.318037146,6.475703123,11.07417756,36.651180267333984
53,Belgium,BEL,2017,23.111864,24720.0,11384491,81.49,Europe,2.23344449,6.416999527,11.05072407,36.65524291992188
54,Belgium,BEL,2018,22.976841,24720.0,11448598,81.6,Europe,2.22201415,6.513575165,11.67756933,36.65524291992188
55,Belgium,BEL,2019,22.856968,24720.0,11510569,82.0,Europe,2.206449565,6.25000042,10.71048029,36.653419494628906
56,Belgium,BEL,2020,22.754787,24720.0,11561716,80.8,Europe,2.198944325,6.148337246,10.26297793,36.653419494628906
57,Belize,BLZ,2016,13.504697,92590.0,367327,74.22,North America,1.188423393,4.712877121,12.57739975,10.080055236816406
58,Belize,BLZ,2017,14.068567,121690.0,374702,74.36,North America,1.183033985,4.875471811,13.08752025,10.078875541687012
59,Belize,BLZ,2018,14.35463,216670.0,382076,74.5,North America,1.229365881,4.700615727,10.84570732,10.078875541687012
60,Belize,BLZ,2019,13.543265,121690.0,389103,74.62,North America,1.138787955,4.453035468,9.361830027,10.078920364379885
61,Belize,BLZ,2020,13.35062,121690.0,394931,74.75,North America,1.124533026,4.25591075,9.820282631,11.019180297851562
62,Benin,BEN,2017,16.959871,52730.0,11596786,61.17,Africa,1.67069187,7.446308264,37.75834612,0.0
63,Benin,BEN,2018,16.466656,52730.0,11940688,61.47,Africa,1.621946266,7.361376061,38.40398821,0.0
64,Bosnia and Herzegovina,BIH,2017,5.602866,4060.0,3440025,77.13,Europe,0.576169509,1.689435732,4.623287309,0.0
65,Bosnia and Herzegovina,BIH,2018,6.129609,3940.0,3400132,77.26,Europe,0.638720873,1.818366389,4.943385533,0.0
66,Brazil,BRA,2016,9.019525,1294190.0,206859584,75.23,South America,0.880325615,2.63215162,4.743238323,1.6849442720413208
67,Brazil,BRA,2017,9.060749,1299120.0,208504960,75.46,South America,0.898648834,2.659059095,4.759152164,26.624107360839844
68,Brazil,BRA,2018,8.431919,1295180.0,210166592,75.67,South America,0.843989245,2.451912702,4.358444245,26.624107360839844
69,Brazil,BRA,2019,8.101848,1309880.0,211782880,75.88,South America,0.81113147,2.472283787,4.165110016,26.624099731445312
70,Brazil,BRA,2020,8.055862,1309880.0,213196304,76.08,South America,0.80424027,2.435530028,4.133158635,26.821489334106445
71,Bulgaria,BGR,2016,7.185577,24370.0,7245982,74.81,Europe,0.82500888,2.774748729,6.02948949,8.103059768676758
72,Bulgaria,BGR,2017,7.119373,24310.0,7182430,74.81,Europe,0.812053533,2.713786019,5.806451841,8.103309631347656
73,Bulgaria,BGR,2018,7.1833572,24310.0,7117424,74.96,Europe,0.817317454,2.795299965,5.69700032,8.103309631347656
74,Bulgaria,BGR,2019,7.2556705,24310.0,7052536,75.11,Europe,0.826014929,2.91299349,5.660377473,8.108619689941406
75,Bulgaria,BGR,2020,7.327582,24310.0,6979181,73.61,Europe,0.835802185,3.021147705,6.003653817,8.108338356018066
76,Cambodia,KHM,2016,42.612213,800220.0,15624586,68.98,Asia,4.898436875,20.62335262,72.40065294,0.1855446100234985
77,Cambodia,KHM,2017,43.180943,854820.0,15830694,69.29,Asia,4.95347121,20.67478038,71.42096881,0.1857673823833465
78,Cambodia,KHM,2018,46.269974,941010.0,16025242,69.57,Asia,5.137254915,20.89732038,71.76835729,0.1857673823833465
79,Cambodia,KHM,2019,47.187965,967100.0,16207746,69.82,Asia,5.19047228,22.13426111,75.52674161,0.1857679933309555
80,Cambodia,KHM,2020,46.64873,967100.0,16396864,70.05,Asia,5.13222704,21.62797881,71.93531506,1.441558003425598
81,Cameroon,CMR,2016,21.231108,235510.0,23711626,58.06,Africa,2.088347865,7.721639834,45.43269277,3.407166719436645
82,Cameroon,CMR,2017,18.187948,235500.0,24393182,58.51,Africa,1.74603309,6.667602381,42.98642535,3.4096405506134038
83,Cameroon,CMR,2018,19.125616,284290.0,25076752,58.92,Africa,1.857155624,7.05128217,44.89795894,3.4096405506134038
84,Cameroon,CMR,2019,19.701597,299450.0,25782342,59.29,Africa,1.90125945,7.188365577,46.09236245,11.462650299072266
85,Cameroon,CMR,2020,19.179571,299450.0,26491090,59.63,Africa,1.850718375,7.059151541,45.62669021,10.891900062561035
86,Canada,CAN,2016,22.808931,1067490.0,36113532,81.9,North America,2.12176471,5.695390423,10.730891,0.8718722462654114
87,Canada,CAN,2017,22.348087,1026449.94,36554344,81.9,North America,2.09061123,5.501399442,10.49144054,0.8718818426132202
88,Canada,CAN,2018,23.114777,1019100.0,37035260,82.05,North America,2.203311696,5.658252947,10.16177981,0.8718818426132202
89,Canada,CAN,2019,20.857817,945230.0,37522584,82.05,North America,1.961502189,5.0988553,9.176030289,2.907387971878052
90,Canada,CAN,2020,20.649815,945230.0,37888704,81.75,North America,1.945196544,5.087001659,9.214605128,8.784921646118164
91,Chile,CHL,2016,12.787869,2532480.0,18083880,79.78,South America,1.330441863,4.045144551,7.614640117,12.595203399658203
92,Chile,CHL,2017,13.473985,3121910.0,18368582,79.91,South America,1.468061025,4.417448607,8.380473228,28.814451217651367
93,Chile,CHL,2018,14.12077,3389440.0,18701452,80.04,South America,1.41097539,4.153217143,7.853509454,28.814451217651367
94,Chile,CHL,2019,14.831567,3356460.0,19039484,80.18,South America,1.376996555,4.089339663,7.820883129,41.19150924682617
95,Chile,CHL,2020,14.6291,3356460.0,19300318,80.33,South America,1.355692563,4.077859909,7.841907523,41.32516098022461
96,China,CHN,2016,38.944885,61603540.0,1401889664,76.21,Asia,3.33558243,9.044623932,24.15355821,3.766775131225586
97,China,CHN,2017,39.135952,62197148.0,1410275968,76.47,Asia,3.357842685,9.005720656,24.37266442,5.406831741333008
98,China,CHN,2018,39.391884,62206892.0,1417069440,76.7,Asia,3.361004315,8.965179017,24.19269506,5.406831741333008
99,China,CHN,2019,40.42608,62241700.0,1421864064,76.91,Asia,3.478165665,9.156089522,24.55821265,5.406830787658691
100,China,CHN,2020,40.333355,62241700.0,1424929792,77.1,Asia,3.469345075,9.066384159,24.29641029,5.47900915145874
101,Colombia,COL,2016,7.3436947,168910.0,47625960,76.73,South America,0.790104733,3.163340948,6.131805644,2.063793182373047
102,Colombia,COL,2017,7.141524,187450.0,48351668,76.92,South America,0.771658837,3.028546552,5.942564341,17.069887161254883
103,Colombia,COL,2018,7.870866,202140.0,49276968,77.11,South America,0.86443472,3.307064483,6.45959287,17.069887161254883
104,Colombia,COL,2019,9.017234,272430.0,50187404,77.29,South America,0.981163435,3.691968914,7.251082982,17.060840606689453
105,Colombia,COL,2020,8.881663,272430.0,50930656,77.46,South America,0.966342902,3.729767875,7.286224986,17.165700912475586
106,Comoros,COM,2016,15.8189,16410.0,746239,63.7,Africa,1.892188105,8.737864854,32.53012305,0.0229600183665752
107,Comoros,COM,2017,16.329758,17020.0,761672,63.91,Africa,1.89967024,8.781102863,33.24232069,0.0226364023983478
108,Comoros,COM,2018,16.022217,17020.0,776322,64.12,Africa,1.862006803,8.965907266,35.89743731,0.0226364023983478
109,Comoros,COM,2019,15.727082,17020.0,790993,64.32,Africa,1.829698536,10.1018863,53.68663487,0.0226360000669956
110,Comoros,COM,2020,15.435959,17020.0,806168,64.52,Africa,1.79536054,8.125445845,25.40389971,0.3744769990444183
111,Congo,COG,2016,26.571966,86930.0,5186830,,Africa,2.926805425,17.3308428,37.90285946,3.205932140350342
112,Congo,COG,2017,28.227964,95160.0,5312347,,Africa,3.10079472,17.20241592,36.04081575,3.211703062057495
113,Congo,COG,2018,27.97861,99370.0,5441061,,Africa,3.158989955,17.30250378,36.37099805,3.211703062057495
114,Congo,COG,2019,24.233242,71080.0,5570736,,Africa,2.781510605,15.86886586,35.03552419,3.211738109588623
115,Congo,COG,2020,23.670317,71080.0,5702183,,Africa,2.716231815,15.37692472,32.96185229,3.0105459690093994
116,Costa Rica,CRI,2016,16.41518,35570.0,4945205,79.74,North America,1.82602784,6.440505066,11.63862676,0.8335210680961609
117,Costa Rica,CRI,2017,18.307821,35570.0,4993849,79.91,North America,2.0947934,7.289436636,12.98206226,0.8334474563598633
118,Costa Rica,CRI,2018,18.138557,35570.0,5040738,80.1,North America,2.074132466,7.097733027,12.69946761,0.8334474563598633
119,Costa Rica,CRI,2019,17.978333,35570.0,5084527,80.28,North America,2.058126705,6.761099273,11.63457505,2.6143760681152344
120,Costa Rica,CRI,2020,17.848438,35570.0,5123107,80.46,North America,2.043322925,6.742514578,11.81284079,2.728769063949585
121,Croatia,HRV,2016,16.980503,89070.0,4223748,78.02,Europe,1.85863767,5.809459559,10.43922451,8.540921211242676
122,Croatia,HRV,2017,18.707657,86050.0,4192468,77.83,Europe,2.090368505,6.468334309,10.97724193,8.541085243225098
123,Croatia,HRV,2018,18.849646,86050.0,4160488,78.07,Europe,2.107424225,6.430796666,10.7494885,8.541085243225098
124,Croatia,HRV,2019,18.992533,86050.0,4129749,78.42,Europe,2.120932875,6.335877899,10.56363643,8.54102897644043
125,Croatia,HRV,2020,19.139153,86050.0,4096872,77.72,Europe,2.139626861,6.356622578,10.90807339,8.991410255432129
126,Cuba,CUB,2016,6.246136,52730.0,11342012,78.61,North America,0.623764159,1.981001028,5.454545838,4.324744701385498
127,Cuba,CUB,2017,5.691303,53010.0,11336405,78.66,North America,0.562228663,1.792990989,4.697986631,4.324950695037842
128,Cuba,CUB,2018,6.0852365,50810.0,11328243,78.73,North America,0.613728119,1.987459986,5.016422607,4.324950695037842
129,Cuba,CUB,2019,6.0689864,45600.0,11316699,78.8,North America,0.63604181,2.121692587,5.263158044,3.851970911026001
130,Cuba,CUB,2020,6.073902,45600.0,11300695,78.89,North America,0.636556971,2.106537409,4.913865912,3.8522489070892334
131,Cyprus,CYP,2016,23.01148,8120.0,1197889,80.51,Asia,2.09979755,6.45833294,13.01945103,0.1231182515621185
132,Cyprus,CYP,2017,24.361061,9020.0,1208527,80.67,Asia,2.441232165,7.465126414,14.72801556,0.122715525329113
133,Cyprus,CYP,2018,23.002821,8840.0,1218834,80.83,Asia,2.321548555,7.194085953,14.71119221,0.122715525329113
134,Cyprus,CYP,2019,25.028126,9580.0,1228840,80.98,Asia,2.527684605,7.27981106,13.22160133,0.1230780035257339
135,Cyprus,CYP,2020,24.858616,9580.0,1237540,81.14,Asia,2.510496025,7.333056362,13.43113065,8.620538711547852
136,Denmark,DNK,2016,24.838022,706570.0,5706856,80.85,Europe,3.466365215,8.523441559,13.02497928,17.8481502532959
137,Denmark,DNK,2017,26.695381,942060.0,5737286,81.1,Europe,3.646637255,8.938148284,13.77220809,17.8489933013916
138,Denmark,DNK,2018,26.562166,942060.0,5766689,80.95,Europe,3.629780825,8.798094433,13.20529902,17.8489933013916
139,Denmark,DNK,2019,26.430107,942060.0,5795879,81.45,Europe,3.609442295,8.810220993,13.14535366,17.91983985900879
140,Denmark,DNK,2020,26.298183,942060.0,5825638,81.55,Europe,3.59275924,9.03284681,13.7614683,18.32221031188965
141,Djibouti,DJI,2016,5.229358,2220.0,1023269,65.06,Africa,0.553394969,2.441520388,11.54111886,0.5404559969902039
142,Djibouti,DJI,2017,3.3486054,2020.0,1040242,65.89,Africa,0.357729072,1.57618215,7.719799886,0.1678674668073654
143,Djibouti,DJI,2018,4.181776,2100.0,1057204,66.58,Africa,0.443667355,1.984597151,9.578270508,0.1678674668073654
144,Djibouti,DJI,2019,3.236138,2020.0,1073999,67.11,Africa,0.347408935,1.562499931,9.210525747,0.1678649932146072
145,Djibouti,DJI,2020,3.1901314,2020.0,1090162,67.49,Africa,0.340718704,1.513592898,8.910034374,0.1678649932146072
146,Dominica,DMA,2016,29.211105,820.0,70098,,North America,3.194179605,10.51222814,18.06775435,0.0139134312048554
147,Dominica,DMA,2017,28.471785,790.0,70422,,North America,3.16844382,10.69565256,18.74999961,0.1052779704332351
148,Dominica,DMA,2018,28.306042,790.0,70840,,North America,3.149593395,11.01024514,20.08041619,0.1052779704332351
149,Dominica,DMA,2019,28.062244,790.0,71446,,North America,3.12197494,10.51136364,,0.0348270013928413
150,Dominica,DMA,2020,27.851875,790.0,72011,,North America,3.09794626,10.82631983,19.8782487,0.0347889997065067
151,Dominican Republic,DOM,2016,8.691677,16930.0,10527589,73.47,North America,0.901267636,3.968254101,7.994883081,9.084691047668455
152,Dominican Republic,DOM,2017,8.363205,18270.0,10647247,73.69,North America,0.857746934,3.761062007,7.742355439,17.957904815673828
153,Dominican Republic,DOM,2018,9.891062,16360.001,10765532,73.89,North America,1.019657868,4.258200211,8.874254867,17.957904815673828
154,Dominican Republic,DOM,2019,8.467307,17040.0,10881886,74.08,North America,0.871698475,3.591037229,7.485307999,17.957759857177734
155,Dominican Republic,DOM,2020,8.372867,17040.0,10999668,74.26,North America,0.8603146,3.564504358,7.599364221,17.957759857177734
156,Ecuador,ECU,2016,8.656989,1166580.0,16439588,76.36,South America,0.831141172,3.724975448,7.798008091,13.050639152526855
157,Ecuador,ECU,2017,8.685564,1112710.0,16696947,76.58,South America,0.880619732,3.957783897,8.301626164,13.346171379089355
158,Ecuador,ECU,2018,8.524092,1112710.0,17015672,76.8,South America,0.864859032,3.942532505,8.480057485,13.346171379089355
159,Ecuador,ECU,2019,8.364405,1112710.0,17343742,77.01,South America,0.84826073,3.82711992,8.111888126,13.345919609069824
160,Ecuador,ECU,2020,8.24545,1112710.0,17588596,77.22,South America,0.838437777,3.809048372,8.19906828,13.345919609069824
161,Egypt,EGY,2016,22.129501,1707280.0,99784032,,Africa,2.304336104,7.011457804,29.87012988,4.951564311981201
162,Egypt,EGY,2017,22.445707,1822800.0,101789384,,Africa,2.327427428,7.00676663,29.05872167,4.951488971710205
163,Egypt,EGY,2018,24.39235,1967520.0,103740768,,Africa,2.517554103,7.640567577,30.15346282,4.951488971710205
164,Egypt,EGY,2019,26.242659,2038990.0,105618672,,Africa,2.320921266,7.121567807,29.35498177,4.951488018035889
165,Egypt,EGY,2020,25.796637,2038990.0,107465128,,Africa,2.280083716,7.185103682,32.28346464,4.951488018035889
166,El Salvador,SLV,2016,6.8334103,62040.0,6250513,72.64,North America,0.827686629,2.95246906,8.256201034,0.7056601643562317
167,El Salvador,SLV,2017,6.7685676,59280.0,6266661,72.87,North America,0.818548197,2.929037378,8.384146546,0.705446720123291
168,El Salvador,SLV,2018,6.7521195,59280.0,6276340,73.1,North America,0.817773777,2.920778886,8.508158526,0.705446720123291
169,El Salvador,SLV,2019,6.7513256,59280.0,6280222,73.32,North America,0.813909814,2.738861668,7.995578524,0.7054460048675537
170,El Salvador,SLV,2020,6.7410684,59280.0,6292734,73.53,North America,0.81263892,2.608380763,7.507821361,0.7070329785346985
171,Estonia,EST,2016,14.211568,76570.0,1315928,77.64,Europe,1.234705064,3.353840064,5.363376741,18.62632942199707
172,Estonia,EST,2017,14.74621,83660.0,1317550,78.09,Europe,1.362948289,3.743852143,6.138907137,18.620441436767575
173,Estonia,EST,2018,14.699488,83660.0,1322146,78.24,Europe,1.358677022,3.640990593,5.917912799,18.620441436767575
174,Estonia,EST,2019,14.644655,83660.0,1327039,78.65,Europe,1.352732705,3.675815146,5.507720039,18.634920120239254
175,Estonia,EST,2020,14.617944,83660.0,1329449,78.35,Europe,1.351186967,3.765350594,5.588190892,18.778839111328125
176,Fiji,FJI,2016,33.29922,44600.0,918371,67.18,Oceania,3.268157075,13.46181459,34.4789778,0.9244144558906556
177,Fiji,FJI,2017,28.933626,47360.0,919022,67.25,Oceania,2.807382535,11.65076611,30.2325585,0.9248794317245485
178,Fiji,FJI,2018,28.930439,47360.0,919002,67.34,Oceania,2.805608745,10.50834074,22.08114852,0.9248794317245485
179,Fiji,FJI,2019,28.952114,47360.0,918472,67.44,Oceania,2.808103155,10.4915432,24.51373853,0.924880027770996
180,Fiji,FJI,2020,28.887266,47360.0,920430,67.56,Oceania,2.80126623,10.65584804,27.64912331,0.924880027770996
181,Finland,FIN,2016,31.826109,207630.0,5495217,81.43,Europe,3.1296341,7.411571173,11.83865174,11.130293846130373
182,Finland,FIN,2017,33.647427,204980.0,5508146,81.63,Europe,3.29035382,7.734569121,12.33908452,10.509963035583496
183,Finland,FIN,2018,33.60585,204980.0,5515465,81.73,Europe,3.285832565,7.719388049,12.26633835,10.509963035583496
184,Finland,FIN,2019,33.56444,204980.0,5521539,81.98,Europe,3.284004645,7.656236054,12.38449754,12.11061954498291
185,Finland,FIN,2020,33.51807,204980.0,5529468,82.13,Europe,3.28071271,7.738095894,12.35197001,11.98686981201172
186,France,FRA,2016,33.9833,667200.0,63989320,82.57,Europe,3.133258185,7.783753425,13.68386158,26.16684913635254
187,France,FRA,2017,34.7668,661640.0,64144092,82.58,Europe,3.233260155,8.032849102,13.99901333,45.04579544067383
188,France,FRA,2018,35.247223,760230.0,64277812,82.68,Europe,3.23436209,8.09936219,14.02207892,45.04579544067383
189,France,FRA,2019,33.677456,676610.0,64399760,82.83,Europe,3.12290131,7.298766358,11.70610228,48.92876815795898
190,France,FRA,2020,33.638912,676610.0,64480052,82.18,Europe,3.118508535,7.253975458,11.6800452,50.35652923583984
191,French Polynesia,PYF,2016,44.62923,13460.0,293552,77.02,Oceania,4.633186995,14.55893463,22.50830596,0.0043165748938918
192,French Polynesia,PYF,2017,44.36275,12820.0,295456,77.25,Oceania,4.71894849,14.89293112,23.29574219,0.0043153893202543
